portugais,français
que,quoi
não,Non
o,le
de,de
a,le
é,et
você,toi
e,et
eu,je
um,un
para,à
está,ce
uma,un
se,si
com,avec
por,mettre
ele,il
isso,que
em,dans
do,de
me,moi
mas,mais
como,comme
bem,bien
da,de la
no,nœud
os,toi
ela,elle
na,dans
sim,Oui
aqui,ici
mais,plus
tem,il a
meu,mon
seu,ton
muito,très
foi,il était
as,au
vai,aller
sua,ton
estou,Je suis
vamos,allons-y
tudo,tous
minha,mon
só,seulement
então,alors
pode,il peut
agora,maintenant
vou,J'y vais
ser,être
quando,quand
fazer,faire
sei,Je sais
eles,ils
nós,nous
tenho,J'ai
te,toi
estava,il était
certo,droite
quer,il veut
sabe,il sait
já,déjà
era,était
nos,nous
quem,OMS
ou,ou
ao,au
nada,rien
disse,il a dit
há,il y a
lá,là
onde,où
quero,Je veux
bom,bien
ter,avoir
sou,suis
são,ils sont
dizer,dire
posso,puis-je
acho,Je pense
sobre,sur
mim,moi
porque,pourquoi
mesmo,même
coisa,chose
todos,tous
estão,ils sont
algo,quelque chose
até,jusqu'à
tempo,temps
assim,comme ça
nunca,jamais
vocês,toi
esse,que
casa,maison
quê,quoi
essa,que
à,le
ver,voir
também,aussi
pra,pour
ainda,encore
tão,donc
dos,de la
cara,affronter
favor,s'il te plaît
ir,aller
melhor,mieux
noite,nuit
sem,sans
temos,nous avons
obrigado,merci
dia,jour
talvez,peut-être
pai,père
estamos,nous sommes
esta,ce
deus,Dieu
alguém,quelqu'un
mãe,mère
vida,vie
senhor,Monsieur
este,ce
isto,ce
sempre,toujours
anos,années
vez,temps
verdade,vrai
seus,ton
dele,de lui
ficar,rester
parece,il semble
oh,Oh
claro,Bien sûr
depois,après
tinha,il avait
falar,parler
coisas,des choses
antes,avant
pessoas,personnes
pouco,petit
pelo,pour le
preciso,nécessaire
apenas,juste
homem,homme
deve,il doit
nem,ni
boa,bien
dois,deux
fazendo,faire
todo,tous
lugar,lieu
faz,il le fait
acha,il pense
fez,il l'a fait
aí,là
fora,dehors
estar,être
qual,lequel
disso,à partir de ça
trabalho,travail
precisa,il en faut
das,de
hoje,aujourd'hui
ninguém,personne
novo,nouveau
queria,je voulais
ei,Hé
comigo,avec moi
mundo,monde
saber,savoir
alguma,quelques
dar,donner
podemos,nous pouvons
grande,grand
sinto,Je me sens
seja,c'est
nossa,notre
poderia,ça pourrait
dinheiro,argent
suas,ton
será,ce sera
nome,nom
quanto,comme
qualquer,n'importe lequel
pela,pour le
outro,autre
vá,aller
lhe,lui
dela,son
nosso,notre
oi,Hé
meus,mon
desculpe,Désolé
filho,fils
certeza,certitude
vão,ils vont
hora,temps
ok,D'ACCORD
outra,autre
sair,sortir
toda,tous
volta,dos
problema,problème
obrigada,merci
olá,Bonjour
tipo,taper
realmente,vraiment
sabia,tu savais
aconteceu,c'est arrivé
menos,moins
mulher,femme
algum,quelques
diga,dire
falando,parler
espere,Attendez
ótimo,excellent
carro,voiture
vezes,fois
amigo,ami
primeiro,d'abord
deveria,cela devrait
seria,il serait
venha,viens
três,trois
entre,entre
daqui,d'ici
sério,sérieux
diz,ça dit
voltar,revenir
ah,Oh
parte,partie
amor,amour
feliz,heureux
às,au
viu,il a vu
embora,bien que
família,famille
olhe,regarder
deixar,partir
atrás,dos
tenha,tu as
faça,faire
pensei,Je pensais
ajudar,pour aider
todas,tous
olha,regarder
aquele,Celui-la
duas,deux
querida,cher
frente,devant
vi,scie
indo,en allant
alguns,quelques
dias,jours
fui,Je suis allé
vem,il vient
lado,côté
podem,ils peuvent
fiz,Je l'ai fait
merda,Merde
nas,dans le
pare,Arrêt
tarde,après-midi
gosto,J'aime
precisamos,nous avons besoin
caso,cas
fique,rester
dentro,dans
cidade,ville
momento,moment
pegar,prendre
foram,ils étaient
nenhum,aucun
gente,personnes
somos,nous sommes
amanhã,demain
fosse,étaient
cabeça,tête
gostaria,Je voudrais
amigos,amis
mal,mal
enquanto,alors que
homens,hommes
logo,bientôt
deles,d'eux
desde,depuis
tanto,les deux
garota,fille
pessoa,personne
legal,légal
amo,J'aime
rápido,rapide
algumas,quelques
cada,chaque
jeito,chemin
tentando,en essayant
meio,assez
outros,autres
têm,il a
medo,peur
minhas,mon
importa,matière
irmão,frère
errado,faux
história,histoire
primeira,d'abord
quase,presque
horas,heures
encontrar,trouver
nova,nouveau
essas,ces
pessoal,les gars
dá,de la
difícil,difficile
forma,forme
contra,contre
matar,tuer
semana,semaine
dizendo,adage
perto,fermer
demais,trop
entrar,entrer
esses,ceux
deu,ça a donné
achei,Je pensais
deixe,laisser
vejo,Je vois
polícia,police
espero,J'espère
sido,a été
juntos,ensemble
ajuda,aide
ano,année
caminho,chemin
nisso,dans ce
elas,ils
quiser,il veut
crianças,enfants
manhã,matin
for,pour
aquela,Celui-la
sorte,chance
morte,la mort
pensar,pense
papai,papa
aos,au
ali,là
veja,regarder
fica,il est
teve,il avait
quarto,chambre
levar,prendre
filha,fille
feito,fait
minutos,minutes
morto,mort
porta,porte
tive,J'avais
entendo,Je comprends
cima,haut
acabou,il a fini
tá,d'accord
chegar,arriver
num,dans un
veio,il est venu
água,eau
mesma,même
dê,de
significa,moyens
teria,aurait
pronto,prêt
esposa,épouse
vir,viens
acredito,Je crois
ouvir,entendre
gosta,il aime
morrer,mourir
nossos,la nôtre
olhos,yeux
garoto,garçon
última,dernier
coração,cœur
contar,compter
importante,important
jogo,jeu
acontecendo,événement
razão,raison
mãos,mains
devo,je dois
ideia,idée
consigo,avec toi
idiota,idiot
passar,dépenser
havia,il y avait
problemas,problèmes
parar,arrêter
senhora,madame
fim,fin
corpo,corps
chefe,chef
poder,pouvoir
mamãe,maman
ia,je
cuidado,Prudent
começar,pour commencer
espera,attendez
ficou,il restait
conta,compte
exatamente,exactement
arma,bras
longe,loin
escola,école
tentar,essayer
pois,alors
terra,Terre
droga,médicament
ontem,hier
pensando,pensée
única,unique
devia,devrait
sendo,être
causa,cause
guerra,guerre
chance,chance
usar,utiliser
marido,mari
mão,main
tal,tel
numa,dans un
trabalhar,travailler
sangue,sang
música,musique
esperar,attendez
querem,vouloir
uns,quelques
nenhuma,aucun
tivesse,avait
digo,je dis
estranho,étrange
maior,plus gros
velho,vieux
faço,je fais
boca,bouche
houve,il y avait
festa,faire la fête
estavam,ils étaient
fala,il parle
mulheres,femmes
conhece,savez-vous
ouvi,j'ai entendu
tirar,jeter
esperando,en attendant
podia,pourrait
licença,licence
capitão,capitaine
preocupe,inquiétude
comer,manger
fácil,facile
deixa,il part
novamente,encore
além,en outre
irmã,sœur
meses,mois
eram,ils étaient
suficiente,assez
pais,pays
segundo,deuxième
sabemos,nous savons
muitas,beaucoup de
cinco,cinq
bebê,bébé
matou,tué
querido,cher
muita,beaucoup
idéia,idée
saia,jupe
muitos,beaucoup
número,nombre
vê,voir
deixou,il est parti
conseguir,obtenir
lembra,souviens-toi
dessa,de ceci
morreu,il est mort
tomar,prendre
the,le
bastante,assez
neste,dans ce
maneira,manière
quatro,quatre
filhos,enfants
acontecer,arriver
criança,enfant
dormir,dormir
durante,pendant
possa,peut
desse,de ça
vindo,à venir
certa,droite
café,café
possível,possible
casamento,mariage
irá,L'Iran
acordo,accord
quis,recherché
equipe,équipe
conheço,Je sais
ruim,mauvais
culpa,blâmer
jantar,déjeuner
provavelmente,probablement
consegue,il réalise
telefone,téléphone
esteja,être
mil,mille
i,je
forte,fort
sentir,ressentir
viver,vivre
chegou,il est arrivé
diferente,différent
sozinho,seul
prazer,plaisir
pergunta,question
procurando,à la recherche de
iria,j'irais
terá,aura
conseguiu,il a réalisé
outras,autres
final,fin
minuto,minute
sala,chambre
chega,il arrive
único,célibataire
nossas,notre
falta,manque
desta,de ceci
aquilo,Celui-la
incrível,incroyable
devemos,nous devons
direito,droite
nessa,dans ce
vivo,vivant
mudar,changer
faria,serait
porra,Putain
perder,perdre
falou,il a parlé
segurança,sécurité
pagar,payer
plano,plat
descobrir,découvrir
conversar,parler
achar,penser
próxima,suivant
sabem,savoir
comida,nourriture
pegue,prendre
diabos,enfer
trás,derrière
jovem,jeune
trouxe,il a apporté
acreditar,croire
olhar,regarder
cama,lit
ponto,indiquer
passado,passé
pena,pitié
colocar,placer
tchau,au revoir
nesse,en cela
fale,parler
ouça,écouter
nele,dedans
calma,calme
filme,film
pedir,demander
paz,paix
sente,sentir
louco,fou
palavra,mot
cá,ici
pequeno,petit
john,John
caras,les gars
ouviu,il a entendu
próximo,suivant
médico,médecin
pensa,pense
ligar,se connecter
pior,pire
força,force
mostrar,montrer
país,pays
acontece,ça arrive
fogo,feu
entende,il comprend
baixo,faible
sob,sous
acabar,pour finir
continuar,continuer
estiver,tu es
lembro,Je me souviens
dizem,ils disent
srta,Manquer
vendo,vision
luz,lumière
jogar,jouer
livro,livre
adeus,au revoir
perguntar,demander
existe,existe
manter,maintenir
fazem,faire
cedo,tôt
querer,vouloir
desculpa,Désolé
jack,Jack
semanas,semaines
vim,je suis venu
estes,ces
começou,ça a commencé
hospital,hôpital
atenção,attention
seis,six
linda,beau
último,dernier
chamar,appeler
escritório,bureau
rei,roi
falei,j'ai parlé
estávamos,nous étions
especial,spécial
comprar,acheter
após,après
resto,repos
fiquei,je suis resté
alô,Bonjour
saiu,c'est sorti
ganhar,gagner
controle,contrôle
fico,Je suis
brincando,plaisanterie
volte,revenir
si,Oui
nesta,dans ce
garotas,filles
queremos,nous voulons
presidente,président
pegou,il a ramassé
real,réel
devem,doit
aonde,vers où
precisar,avoir besoin
negócio,entreprise
doutor,médecin
esteve,a été
encontro,réunion
pelos,par le
escute,Écouter
finalmente,enfin
estado,État
pé,pied
cuidar,se soucier
ama,Amman
armas,armes
rua,route
sam,Sam
aqueles,Ceux-là
umas,quelques
dólares,dollars
fato,fait
sentido,sens
pequena,petit
prisão,prison
casar,se marier
trabalhando,fonctionnement
escolha,choix
puta,chienne
amiga,ami
sozinha,seul
próprio,propre
cabelo,cheveux
deste,de ceci
estivesse,était
engraçado,drôle
policial,policier
ai,là
perfeito,parfait
passou,c'est arrivé
alto,haut
palavras,mots
livre,gratuit
mente,esprit
s,s
seguro,assurance
menina,fille
própria,propre
bonito,beau
futuro,avenir
pro,pro
entendi,j'ai compris
esqueça,oublier
respeito,respect
tio,oncle
entender,comprendre
uh,euh
estará,sera
visto,Visa
estas,ces
agente,agent
sinal,signal
grupo,groupe
andar,marcher
presente,cadeau
milhões,million
rosto,affronter
mesa,tableau
dor,douleur
foto,photo
preso,arrêté
leve,lumière
partir,partir
consegui,j'ai réalisé
sexo,sexe
voz,voix
assassino,assassin
pense,pense
chamado,appelé
daí,à partir de là
sai,feuilles
pediu,il a demandé
jesus,Jésus
situação,situation
olhando,regarder
perdeu,il a perdu
you,toi
ar,air
tom,tonifier
voltou,il est revenu
grandes,grand
modo,mode
viagem,voyage
sistema,système
rapazes,les garçons
simples,simple
linha,doubler
achou,il pensait
entendeu,as-tu compris
estive,j'ai été
salvar,sauvegarder
boas,bien
conhecer,savoir
estaria,serait
emprego,emploi
chama,flamme
bonita,beau
conosco,avec nous
melhores,meilleur
dez,dix
mensagem,message
michael,michael
contou,dit
idade,âge
crime,crime
questão,question
trazer,apporter
usando,en utilisant
local,emplacement
simplesmente,simplement
lindo,beau
tente,essayer
encontrei,j'ai trouvé
ficará,sera
acredita,croire
levou,il a pris
precisam,besoin
farei,je ferai
doente,malade
natal,Noël
professor,professeur
odeio,je déteste
rapaz,garçon
motivo,raison
disseram,ils ont dit
fizeram,a fait
seguir,suivre
ótima,excellent
programa,programme
campo,champ
normal,normale
continue,continuer
vontade,disposé
graças,merci
menino,garçon
chão,sol
sol,soleil
hey,Hé
soube,je savais
acabei,J'ai fini
perguntas,des questions
surpresa,surprendre
lista,liste
sonho,rêve
olho,œil
terminar,finition
irei,Je vais aller
resposta,réponse
beber,boire
ordem,commande
encontrou,il a trouvé
senhores,messieurs
peguei,j'ai eu
hotel,hôtel
caixa,boîte
quente,chaud
povo,personnes
acidente,accident
erro,erreur
precisava,nécessaire
diria,je dirais
advogado,avocat
us,nous
mortos,mort
aniversário,anniversaire
joe,Joe
inferno,enfer
ataque,attaque
david,David
charlie,Charlie
vale,D'ACCORD
frank,franc
fotos,des photos
show,montrer
abrir,ouvrir
parabéns,Félicitations
fome,faim
voce,toi
tiver,avoir
ficando,obtenir
totalmente,pleinement
morta,mort
loja,magasin
naquela,que
energia,énergie
conversa,conversation
pelas,par
espaço,espace
serviço,service
monte,monter
assassinato,meurtre
lei,loi
negócios,entreprise
banco,banque
reunião,réunion
estarei,Je serai
completamente,complètement
george,Georges
divertido,amusant
ligou,appelé
segunda,deuxième
perdi,J'ai perdu
fundo,bas
lutar,se battre
pudesse,pourrait
explicar,expliquer
fomos,nous étions
tome,prendre
notícias,nouvelles
céu,ciel
trabalha,Ça marche
exército,armée
mês,mois
mike,Micro
parecia,semblait
passa,raisin
fará,ça ira
continua,continuer
dei,J'ai donné
tire,sortir
olhada,regarder
tivemos,nous avions
carta,lettre
lembrar,se souvenir
roupas,vêtements
contato,contact
detetive,détective
passada,passé
fizemos,nous l'avons fait
papel,papier
área,zone
governo,gouvernement
abra,ouvrir
interessante,intéressant
horrível,horrible
luta,lutte
ben,ben
dando,donner
beleza,beauté
certamente,certainement
apartamento,appartement
banheiro,salle de bain
mudou,modifié
capaz,capable
metade,moitié
penso,Je pense
funciona,travaux
tentei,J'ai essayé
procurar,rechercher
tradução,traduction
velha,vieux
triste,triste
prometo,je promets
prova,preuve
barco,bateau
bons,bien
tentou,essayé
hein,hein
quantos,combien
senti,feutre
decisão,décision
tenente,lieutenant
bebida,boire
teremos,nous aurons
tv,TV
através,à travers
conselho,conseil
avião,avion
juro,intérêt
saindo,sortie
ler,lire
nela,en elle
tocar,touche
breve,bref
pronta,prêt
ligue,appel
frio,froid
bar,bar
anda,allez
missão,mission
chave,clé
lamento,je regrette
tinham,avait
impossível,impossible
peça,partie
igreja,église
namorado,petit ami
terrível,terrible
maravilhoso,merveilleux
namorada,petite amie
haver,être
maioria,majorité
tendo,ayant
segredo,secrète
leva,il prend
verdadeiro,VRAI
viva,vivant
naquele,en cela
saiba,savoir
roupa,vêtements
sete,Sept
vítima,victime
drogas,drogues
nave,bateau
assunto,sujet
mandou,envoyé
imediatamente,immédiatement
diferentes,différent
ajude,aide
cair,tomber
tu,toi
fazemos,nous faisons
ouro,or
loucura,folie
time,équipe
vidas,vies
pobre,pauvre
ouvindo,écoute
mar,mer
né,droite?
faremos,nous ferons
puder,peut
vista,voir
começa,commencer
alma,âme
aposto,Je parie
desses,de ceux-ci
fazia,a fait
paul,Paul
general,général
mestre,professeur
adoro,j'adore
senhorita,manquer
celular,téléphone portable
oficial,officiel
cavalo,cheval
companhia,entreprise
somente,seulement
esquecer,oublier